titre,realisateur,adresse,organisme_demandeur,type_de_tournage,ardt,date_debut,date_fin,x,y
ALICE NEVERS  LE JUGE EST UNE FEMME/N°78 ET 79,J.CHRISTOPHE DELPIAS,6  PASSAGE  THIERE/MELTDOWN,EGO PRODUCTION,SERIE TELEVISEE,11ème,2016-01-12,2016-01-12,48.853504, 2.374701
ALICE NEVERS  LE JUGE EST UNE FEMME/N°78 ET 79,J.CHRISTOPHE DELPIAS,6/20  PASSAGE  THIERE,EGO PRODUCTION,SERIE TELEVISEE,11ème,2016-01-13,2016-01-13,48.854252, 2.373555
AMANT DOUBLE,FRANCOIS OZON,142  RUE  DE CHARONNE,MANDARIN FILMS,LONG METRAGE,11ème,2016-11-14,2016-11-15,48.854905, 2.388846
AURORE TABORT,BLANDINE LENOIR,75  RUE  DU FAUBOURG SAINT ANTOINE,KARE PRODUCTIONS,LONG METRAGE,11ème,2016-03-25,2016-03-25,48.851796, 2.374503
AURORE TABORT,BLANDINE LENOIR,75  RUE  DU FAUBOURG SAINT ANTOINE,KARE PRODUCTIONS,LONG METRAGE,11ème,2016-04-12,2016-04-12,48.851796, 2.374503
BAD BUZZ,STEPHANE KAZANDJIAN,PLACE  DE LA NATION/AVENUE DE BOUVINES,ECHO FILMS,LONG METRAGE,11ème,2016-07-12,2016-07-12,48.849469, 2.396501
BAD BUZZ,STEPHANE KAZANDJIAN,RUE  BOUVINES,ECHO FILMS,LONG METRAGE,11ème,2016-07-12,2016-07-12,48.849625, 2.395738
BEFIKRE,ADITYA CHOPRA,16  RUE  DE LA FORGE ROYALE,FIRSTEP,LONG METRAGE,11ème,2016-06-02,2016-06-02,48.85143, 2.380553
BEFIKRE,ADITYA CHOPRA,89  RUE  DU FAUBOURG SAINT ANTOINE,FIRSTEP,LONG METRAGE,11ème,2016-06-01,2016-06-01,48.85164, 2.37514
BEFIKRE,ADITYA CHOPRA,BOULEVARD  BEAUMARCHAIS,FIRSTEP,LONG METRAGE,11ème,2016-06-01,2016-06-01,48.857255, 2.368412
BEFIKRE,ADITYA CHOPRA,PLACE  DE LA BASTILLE,FIRSTEP,LONG METRAGE,11ème,2016-06-01,2016-06-01,48.853715, 2.37009
BITTER FLOWERS,OLIVIER MEYS,RUE  LOUIS BONNET,MILLE ET UNE FILMS,LONG METRAGE,11ème,2016-10-03,2016-10-03,48.870908, 2.376546
BLOCKBUSTER,JULY HYGRECK,114  RUE  OBERKAMPF (LE RIVIERA),VIRGINIE FILMS,LONG METRAGE,11ème,2016-04-08,2016-04-08,48.866029, 2.379128
CLEM/SAISON 7,CHRISTOPHE CAMPOS,10  RUE  BOULLE,MERLIN PRODUCTIONS,SERIE TELEVISEE,11ème,2016-09-09,2016-09-09,48.856822, 2.372255
CLEM/SAISON 7,CHRISTOPHE CAMPOS,101  AVENUE  DE LA REPUBLIQUE,MERLIN PRODUCTIONS,SERIE TELEVISEE,11ème,2016-07-11,2016-07-13,48.863529, 2.384508
CLEM/SAISON 7,CHRISTOPHE CAMPOS,101  AVENUE  DE LA REPUBLIQUE/LYCEE PREVERT,MERLIN PRODUCTIONS,SERIE TELEVISEE,11ème,2016-08-30,2016-08-31,48.863529, 2.384508
CLEM/SAISON 7,CHRISTOPHE CAMPOS,20  RUE  DE LA FOLIE MERICOURT,MERLIN PRODUCTIONS,SERIE TELEVISEE,11ème,2016-09-09,2016-09-09,48.862406, 2.373802
CLEM/SAISON 7,CHRISTOPHE CAMPOS,2BIS  CITE  POPINCOURT,MERLIN PRODUCTIONS,SERIE TELEVISEE,11ème,2016-09-09,2016-09-09,48.862174, 2.374468
CLEM/SAISON 7,CHRISTOPHE CAMPOS,RUE  DES NANETTES /CONDILLAC,MERLIN PRODUCTIONS,SERIE TELEVISEE,11ème,2016-07-11,2016-07-11,48.864409, 2.383377
CLEM/SAISON 7,CHRISTOPHE CAMPOS,RUE  DES NANETTES/CONDILLAC/LYCEE PREVERT,MERLIN PRODUCTIONS,SERIE TELEVISEE,11ème,2016-09-01,2016-09-01,48.864409, 2.383377
COEXISTER,FABRICE EBOUE,10  RUE  CHARLES DELESCLUZE,EUROPA CORP,LONG METRAGE,11ème,2016-11-18,2016-11-18,48.852497, 2.380229
COEXISTER,FABRICE EBOUE,20  RUE  DE LA FORGE ROYALE,EUROPA CORP,LONG METRAGE,11ème,2016-11-18,2016-11-18,48.851772, 2.380745
COEXISTER,FABRICE EBOUE,9  RUE  CHARRIERE,EUROPA CORP,LONG METRAGE,11ème,2016-11-18,2016-11-18,48.853152, 2.381932
COEXISTER,FABRICE EBOUE,SQUARE  LOUIS MAJORELLE,EUROPA CORP,LONG METRAGE,11ème,2016-11-18,2016-11-18,48.860942, 2.37701
ELI LI TRA NIJI,SADAM SIDDIG,PLACE  DE LA REPUBLIQUE,SLOW FAST PRODUCTIONS,LONG METRAGE,11ème,2016-07-30,2016-07-30,48.866761, 2.365658
EMMA,ALFRED LOT,3  RUE  DU PASTEUR WAGNER,MANDARIN CINEMA,SERIE TELEVISEE,11ème,2016-02-16,2016-02-16,48.855969, 2.369003
FRACTAL,JEREMY MINUI,1  RUE  FAIDHERBE,MIDNIGHT CUT,SERIE TELEVISEE,11ème,2016-12-15,2016-12-15,48.850663, 2.384172
FRACTAL,JEREMY MINUI,10  RUE  SAINT BERNARD,MIDNIGHT CUT,SERIE TELEVISEE,11ème,2016-12-15,2016-12-15,48.851097, 2.381639
FRACTAL,JEREMY MINUI,13  RUE  FAIDHERBE,MIDNIGHT CUT,SERIE TELEVISEE,11ème,2016-12-15,2016-12-15,48.851653, 2.383439
FRACTAL,JEREMY MINUI,209  RUE  DU FAUBOURG SAINT ANTOINE,MIDNIGHT CUT,SERIE TELEVISEE,11ème,2016-12-15,2016-12-15,48.850526, 2.382924
FRACTAL,JEREMY MINUI,RUE  PAUL BERT/IMPASSE CHARLES PETIT,MIDNIGHT CUT,SERIE TELEVISEE,11ème,2016-12-15,2016-12-15,48.851176, 2.385079
GC5,GUILLAUME CANET,20  RUE  TITON,LES PRODUCTIONS DU TRESOR,LONG METRAGE,11ème,2016-03-03,2016-03-03,48.851974, 2.386468
GC5,GUILLAUME CANET,25  RUE  TITON,LES PRODUCTIONS DU TRESOR,LONG METRAGE,11ème,2016-03-03,2016-03-03,48.852329, 2.386265
GC5,GUILLAUME CANET,33BIS  RUE  FAIDHERBE,LES PRODUCTIONS DU TRESOR,LONG METRAGE,11ème,2016-03-03,2016-03-03,48.853081, 2.382692
GC5,GUILLAUME CANET,33BIS  RUE  FAIDHERBE,LES PRODUCTIONS DU TRESOR,LONG METRAGE,11ème,2016-03-04,2016-03-04,48.853081, 2.382692
GC5,GUILLAUME CANET,57  RUE  DE MALTE,LES PRODUCTIONS DU TRESOR,LONG METRAGE,11ème,2016-02-29,2016-02-29,48.86639, 2.36723
IN AMERICA,VINCENT PRIMAULT,7  RUE  ROBERT ET SONIA DELAUNAY,MAKING PROD,SERIE TELEVISEE,11ème,2016-04-07,2016-04-07,48.85533, 2.393375
IN AMERICA,VINCENT PRIMAULT,70  BOULEVARD  DE CHARONNE,MAKING PROD,SERIE TELEVISEE,11ème,2016-04-07,2016-04-07,48.854438, 2.395684
IN AMERICA,VINCENT PRIMAULT,RUE  ALEXANDRE DUMAS,MAKING PROD,SERIE TELEVISEE,11ème,2016-04-07,2016-04-07,48.853572, 2.392571
IRIS/EX CHAOS,JALIL LESPERT,18  RUE  DU FAUBOURG DU TEMPLE,WY PRODUCTIONS,LONG METRAGE,11ème,2016-02-01,2016-02-01,48.868311, 2.366089
JOSEPHINE ANGE GARDIEN/EPISODE 81,DENIS THYBAUD,15  RUE  SAINT SABIN,DEMD PRODUCTIONS,SERIE TELEVISEE,11ème,2016-06-06,2016-06-06,48.855463, 2.371776
JOSEPHINE ANGE GARDIEN/EPISODE 81,DENIS THYBAUD,20  RUE  DE CHARONNE,DEMD PRODUCTIONS,SERIE TELEVISEE,11ème,2016-05-16,2016-05-16,48.852981, 2.3748
JOSEPHINE ANGE GARDIEN/EPISODE 81,DENIS THYBAUD,5  RUE  SEDAINE,DEMD PRODUCTIONS,SERIE TELEVISEE,11ème,2016-06-06,2016-06-06,48.855646, 2.37119
JOSEPHINE ANGE GARDIEN/EPISODE 81,DENIS THYBAUD,8 BIS  RUE  SEDAIN E,DEMD PRODUCTIONS,SERIE TELEVISEE,11ème,2016-06-06,2016-06-06,48.855589, 2.371411
JUST DIVORCED,MAXIME GOVARE,33 BIS  RUE  FAIDHERBE,LES IMPRODUCTIBLES,LONG METRAGE,11ème,2016-09-23,2016-09-23,48.853081, 2.382692
JUSTE UN REGARD,LUDOVIC COLBEAU,7  RUE  SONIA DELAUNAY,VAB,SERIE TELEVISEE,11ème,2016-11-16,2016-11-16,48.85533, 2.393375
L'EMBARRAS DU CHOIX,ERIC DELAVAINE,62  RUE  JEAN PIERRE TIMBAUD,SOMBRERO PRODUCTIONS,LONG METRAGE,11ème,2016-08-17,2016-08-17,48.86675, 2.374074
L'EMBARRAS DU CHOIX,ERIC DELAVAINE,6BIS  PASSAGE  DE LA FONDERIE,SOMBRERO PRODUCTIONS,LONG METRAGE,11ème,2016-08-12,2016-08-12,48.866433, 2.375812
